No.	Greek (Original)	Pronunciation (English-like)	English Translation	Meaning / Notes
1	Σε ξένο φαγεί να μη βάνης άλας	Seh KSEH-no fa-YEE na mee VA-nees AH-las	Do not add salt to someone else's food	
2	Καρδίαν καθαράν θέλ' ο Θεός	Kar-THEE-an ka-tha-RAN THEL o The-OSS	God wants a clean heart	
3	Όξ' απού θάνατου!	Oks a-POO THA-na-too!	Better death than dishonor	
4	Όλα διορθώνονται μονάχα του σπανού τα γένια	OH-la thee-or-THO-no-neh MO-naha too spa-NOO ta YEH-nya	Everything can be fixed except a mule's ears	
5	Σι ξένου κρασί μη χύνς νιρό	See KSEH-noo kra-SEE mee KHEENS nee-ROH	Don’t spill water on a foreigner’s wine	
6	Όσον ξιτξγκαξίς τα σκατά, τόσον περισσότερον βρουμούν	OH-son ksee-tzga-KSEES ta ska-TA, TO-son pe-ree-SO-te-ron vru-MOON	The more you stir up shit, the more it stinks	
7	Εκεί όπου δεν έβαλες, μην απλώνης	Eh-KEE O-poo then E-va-les, meen a-PLO-nees	Don’t spread your cloth where you haven’t put your stone	
8	Εις μόνον αναμάρτητος	EES MO-non a-na-MAR-tee-tos	One alone is without fault	
9	Ο λύκος με μυρμήγκια δεν χορταίνει	O LEE-kos me meer-MEEN-gya then hor-TEH-nee	A wolf is not satisfied with ants	
10	Όποιους έχ΄ γρόσια έχ΄ γλώσσα	O-PEE-oos ekh GROH-sia ekh GLOH-sa	Whoever has money has a tongue	
11	Σ του λόγγου κατοικίας και ξύλα αγοράζης	S too LOH-goo ka-tee-KEE-as kai KSEE-la a-go-RA-zees	You buy firewood where you live	
14	Έχει πίσσα κ' η παράδεισο	E-KHEE PEE-sa kee ee pa-RA-thee-so	Even paradise has its pitch	
15	Το παλιό το φόρεμα αψυχάει το καινούριο	To pa-LEE-o to FO-re-ma ap-see-KHA-ee to ke-NU-ree-o	The old dress is worn out by the new one	
16	Μας έκουψι μπουρανιές	Mas EK-oo-psee boo-ra-NYES	They sold us ice in winter	
17	Το στάρι απ' το μύλο θα διαβή	To STA-ree ap to MEE-lo tha thee-a-VEE	The grain will pass through the mill	
18	Κάθε ξύλον και τον καπνόν	KAH-theh KSEE-lon kai ton kap-NON	Every log has its smoke	Everything has its flaws; accept imperfection
19	Η γριά σαν εγαμήθη, έσφιχτομανταλώθη	Ee YREE-a san e-ga-MEE-thee, es-FEEK-to-man-ta-LO-thee	An old woman got married and became a young girl again	Renewal or transformation is possible
20	Τα ήθελες κι τα ήθελα	Ta EE-the-les kee ta EE-the-la	You wanted them and I wanted them	Mutual responsibility or consent
21	Όντας (όταν) γηράζ' συ λύκους μασκαράς τουν σικλιών γίνιτι	ON-das (O-tan) yee-RAZ su LEE-kous mas-ka-RAHS toon seek-LEE-on YEE-nee-tee	When you are old, you play with wolves and become a jackal	Old age brings cunning or loss of respect
22	Τον ακάλεστο τον βαν' στον πάτο	Ton a-KA-le-sto ton van ston PA-to	The uninvited guest ends up on the floor	Unwanted guests are cast away
23	Αφορμή δεν είχαμε κι' ο Θεός μας την έστειλε	A-for-MEE then EE-kha-me kee o The-os mas teen ES-tee-le	We didn't have a reason and God sent us one	Fate or divine will intervenes
24	Η σοφία νικάει σήμερα την αντρεία	Ee so-FEE-a nee-KAH-ee SEE-me-ra teen an-TREE-a	Wisdom today conquers bravery	Wisdom is more powerful than brute courage
25	Η καλή μέρα φαίνιτ' απού του πρωΐ	Ee ka-LEE ME-ra FEE-neet ap-OO too pro-EE	The good day appears from the morning	A good start predicts a good outcome
26	Πίστεψε τον Αλή και βάρ' τον Καραλή	PEE-step-se ton A-LEE kai VAR ton Ka-RA-lee	Trust Ali and load Karali	Trust one and face consequences of another
27	Το γοργόν και χάριν έχει	To gor-GON kai HA-rin EE-khei	The swift has grace	Quick action is rewarded
28	Χωρίς μάσα δεν γίνεται κουβέντα	Kho-REES MA-sa then YEE-ne-te koo-VEN-da	Without chewing, there’s no conversation	Important things require effort
29	Τα πολλά λόγια είναι φτώχεια	Ta POL-la LO-ghia EE-ne fTO-hee-a	Many words mean poverty	Talking too much reveals weakness
30	Των φρονίμων τα παιδιά πριν πεινάσουν μαγειρεύουν	Ton fro-NEE-mon ta PEE-dhia prin pee-NA-soun ma-ye-RE-voon	Wise children cook before they are hungry	Prepare ahead
31	Ο καλός ο καπετάνιος στη φουρτούνα φαίνεται	O ka-LOS o ka-pe-TA-nios sti four-TOO-na fa-NE-te	The good captain is known in a storm	True ability shown in difficulty
32	Δεν έχει χορτάρι το σπίτι που δεν έχει καρύδια	Then EE-khei chor-TA-ree to SPEE-tee pou then EE-khei ka-REE-thia	The house without nuts has no grass	Place without right elements is incomplete
33	Η πολλή δουλειά τρώει τον αφέντη	Ee POL-lee dou-LEE-a TRO-ee ton a-FEN-tee	Too much work eats the master	Excessive work wears out the boss
34	Ο λύκος στην αναμπουμπούλα χαίρεται	O LEE-kos stin an-am-boo-BOO-la HE-re-te	The wolf rejoices in confusion	The tricky person benefits from chaos
35	Κάλλιο αργά παρά ποτέ	KA-lee-o ar-GA pa-RA po-TE	Better late than never	Better to do late than never
36	Όποιος βιάζεται σκοντάφτει	O-pee-os VEE-a-ze-te skon-DAF-tee	He who rushes stumbles	Hurrying causes mistakes
37	Όσα δεν φτάνει η αλεπού τα κάνει κρεμαστάρια	O-sa then FTAN-ee ee a-le-POO ta KA-nee kre-MAS-ta-ria	What the fox can’t reach, it calls hanging fruit	People belittle what they can’t get
38	Αρχή άνδρα δείκνυσι	Ar-KHEE AN-dra THEEK-nee-see	The beginning shows the man	First impressions reveal character
39	Τα αγαθά κόποις κτώνται	Ta a-GA-tha KO-pees KTON-te	Good things are acquired by effort	Valuable things come through hard work
40	Δεν είναι όλα τα πουλιά που πετούν αηδόνια	Then EE-ne O-la ta POO-lia pou pe-TOUN e-THO-nia	Not all birds that fly are nightingales	Not all that looks good is good
41	Η καλή μέρα από το πρωί φαίνεται	Ee ka-LEE ME-ra a-PO to pro-EE fa-NE-te	The good day shows from the morning	A good start leads to good outcome
42	Κάθε κατεργάρης στον πάγκο του	KAH-the ka-ter-GA-ris ston PAG-ko tou	Every troublemaker at his own bench	Everyone responsible for own actions
